Headline,Sentiment
US military shoots down another flying object,Negative
US military shoots down another flying object,Negative
"No tents, no aid, nothing: Why Syrians feel forgotten",Neutral
Watch: Man rescued after six days under rubble,Neutral
The Turkish-British family torn apart by earthquake,Neutral
"Another no good, very bad week for George Santos",Negative
"'Little by little, the Russians are winning'",Positive
Mars Wrigley fined after workers fall into chocolate,Neutral
Storm Gabrielle hits NZ with floods and power cuts,Neutral
'A miracle': Quake rescues continue 150 hours on,Neutral
Turkey arrests contractors on collapsed buildings,Neutral
'A miracle': Quake rescues continue 150 hours on,Neutral
Turkey arrests contractors on collapsed buildings,Neutral
Russian soldier death rate highest since war began,Neutral
Islamic State attack kills Syria mushroom pickers,Neutral
Why are BP and Shell making so much money right now?,Positive
Your essential guide to the NFL showpiece,Neutral
Why two black QBs is a defining moment,Negative
'Mind boggling' - brothers set for special occasion,Positive
Rihanna gears up for half-time show,Neutral
The political row that lost Arizona a Super Bowl,Positive
Harry Styles sweeps the Brit Awards with four wins,Positive
BBC World News TV,Neutral
BBC World Service Radio,Neutral
"Brown, 14, becomes skateboarding world champion",Neutral
"Hippos, pandas and owls pick the Super Bowl winner",Positive
Tiny creature unlocks life before the ice age,Neutral
Your pictures on the theme of 'winter walks',Neutral
The man who built a Hobbit house by accident,Neutral
Grieving a daughter in Wuhan - while being surveilled,Neutral
The US murder trial obsessing true crime tourists,Positive
Quake failures leave Erdogan vulnerable in Turkey,Negative
Mexico's bloody drug ballads have American ears tingling,Negative
Poland hesitates on jets to Ukraine decision,Neutral
'I wanted someone to take better care of my baby',Positive
The boxer who fled Iran seeking the freedom to fight,Neutral
Inside Syria: BBC sees children dig through rubble,Neutral
The kids whose names were erased by the earthquake,Neutral
Crisis upon crisis: Why it's hard to get help to Syria,Negative
Turkey earthquake fault lines mapped from space,Neutral
Newborn and mother saved after four days in rubble,Neutral
The search for the last ocean giants,Neutral
The adults celebrating child-free lives,Neutral
A lost 'Egypt' found by amateur sleuths,Negative
Why being messy is good for you,Positive
Can you get two viruses at once?,Neutral
Why bosses are rolling back remote work,Negative
Four chefs redefining soul food,Neutral
